company_name,website,primary_category,subcategory,hq_country,status
RunPod,https://www.runpod.io,AI/ML,GPU Cloud Inference,USA,active
Vast.ai,https://vast.ai,AI/ML,GPU Cloud Marketplace,USA,active
Banana.dev,https://www.banana.dev,AI/ML,Serverless AI Inference,USA,active
Turbopuffer,https://turbopuffer.com,AI/ML,Vector Database,USA,active
LangSmith,https://smith.langchain.com,AI/ML,LLM Observability,USA,active
Traceloop,https://www.traceloop.com,AI/ML,LLM Observability,Israel,active
Phoenix (Arize),https://phoenix.arize.com,AI/ML,LLM Observability,USA,active
Pezzo AI,https://pezzo.ai,AI/ML,Prompt Management,Israel,active
AgentOps,https://www.agentops.ai,AI/ML,AI Agent Observability,USA,active
Guidance (Microsoft),https://github.com/guidance-ai/guidance,AI/ML,Prompt Engineering,USA,active
Marvin,https://www.askmarvin.ai,AI/ML,LLM Toolkit,USA,active
llama.cpp,https://github.com/ggerganov/llama.cpp,AI/ML,Local LLM Inference,Open Source,active
Llamafile,https://github.com/Mozilla-Ocho/llamafile,AI/ML,Local LLM Inference,USA,active
Superagent,https://www.superagent.sh,AI/ML,AI Agent Framework,USA,active
Fixie AI,https://fixie.ai,AI/ML,AI Agent Platform,USA,active
Steamship,https://www.steamship.com,AI/ML,LLM App Platform,USA,active
E2B,https://e2b.dev,AI/ML,Code Execution Sandbox,Czech Republic,active
Azure Machine Learning,https://azure.microsoft.com/en-us/products/machine-learning,AI/ML,ML Platform,USA,active
Amazon SageMaker,https://aws.amazon.com/sagemaker,AI/ML,ML Platform,USA,active
OpenLLMetry,https://www.traceloop.com/openllmetry,AI/ML,LLM Observability,Israel,active
PromptFlow,https://microsoft.github.io/promptflow,AI/ML,Prompt Engineering,USA,active
Lepton AI,https://www.lepton.ai,AI/ML,LLM Cloud Platform,USA,active
OctoAI,https://octo.ai,AI/ML,GenAI Cloud Platform,USA,active
NovitaAI,https://novita.ai,AI/ML,LLM Inference,USA,active
CoreWeave,https://www.coreweave.com,AI/ML,GPU Cloud,USA,active
Paperspace,https://www.paperspace.com,AI/ML,GPU Cloud,USA,active
Lightning AI,https://lightning.ai,AI/ML,ML Development Platform,USA,active
Aporia,https://www.aporia.com,AI/ML,ML Monitoring,Israel,active
Superwise,https://superwise.ai,AI/ML,ML Monitoring,Israel,active
Deepchecks,https://deepchecks.com,AI/ML,ML Testing,Israel,active
DataKitchen,https://datakitchen.io,AI/ML,DataOps,USA,active
re:infer,https://reinfer.io,AI/ML,NLP Platform,UK,active
Hugging Face Spaces,https://huggingface.co/spaces,AI/ML,ML Deployment,USA,active
SuperAnnotate,https://superannotate.com,AI/ML,Data Labeling,USA,active
Toloka AI,https://toloka.ai,AI/ML,Data Labeling,Netherlands,active
CVAT,https://cvat.ai,AI/ML,Computer Vision Annotation,Open Source,active
Segments.ai,https://segments.ai,AI/ML,Data Labeling,Belgium,active
Kili Technology,https://kili-technology.com,AI/ML,Data Labeling,France,active
Datasaur,https://datasaur.ai,AI/ML,Data Labeling,USA,active
Appen,https://appen.com,AI/ML,Data Labeling,Australia,active
Giskard,https://www.giskard.ai,AI/ML,AI Testing,France,active
Lunary,https://lunary.ai,AI/ML,LLM Observability,France,active
Parea AI,https://www.parea.ai,AI/ML,LLM Evaluation,USA,active
Log10,https://log10.io,AI/ML,LLM Observability,USA,active
HoneyHive,https://honeyhive.ai,AI/ML,LLM Evaluation,USA,active
Glean,https://www.glean.com,AI/ML,Enterprise AI Search,USA,active
Moveworks,https://www.moveworks.com,AI/ML,Enterprise AI,USA,active
Writer,https://writer.com,AI/ML,Enterprise AI,USA,active
AI21 Labs,https://www.ai21.com,AI/ML,LLM API,Israel,active
Aleph Alpha,https://aleph-alpha.com,AI/ML,LLM API,Germany,active
Inflection AI,https://inflection.ai,AI/ML,LLM,USA,active
Adept AI,https://www.adept.ai,AI/ML,AI Agent,USA,active
AWS CodeWhisperer,https://aws.amazon.com/codewhisperer,AI/ML,AI Code Generation,USA,active
Codestral,https://mistral.ai/news/codestral,AI/ML,AI Code Generation,France,active
StarCoder,https://huggingface.co/bigcode/starcoder,AI/ML,AI Code Generation,USA,active
SWE-agent,https://swe-agent.com,AI/ML,AI Software Agent,USA,active
MetaGPT,https://github.com/geekan/MetaGPT,AI/ML,AI Agent Framework,China,active
BabyAGI,https://github.com/yoheinakajima/babyagi,AI/ML,AI Agent Framework,USA,active
AgentGPT,https://agentgpt.reworkd.ai,AI/ML,AI Agent Platform,USA,active
AutoGPT,https://autogpt.net,AI/ML,AI Agent Framework,USA,active
SuperAGI,https://superagi.com,AI/ML,AI Agent Framework,India,active
Letta,https://www.letta.com,AI/ML,AI Agent Framework,USA,active
Phidata,https://www.phidata.com,AI/ML,AI Agent Framework,USA,active
PydanticAI,https://ai.pydantic.dev,AI/ML,AI Agent Framework,UK,active
Smolagents,https://github.com/huggingface/smolagents,AI/ML,AI Agent Framework,USA,active
Agno,https://www.agno.com,AI/ML,AI Agent Framework,USA,active
