company_name,website,primary_category,subcategory,hq_country,status
Django,https://www.djangoproject.com,Development,Web Framework,USA,active
Flask,https://flask.palletsprojects.com,Development,Web Framework,USA,active
Tornado,https://www.tornadoweb.org,Development,Web Framework,USA,active
Bottle,https://bottlepy.org,Development,Web Framework,Germany,active
Falcon,https://falconframework.org,Development,Web Framework,USA,active
gRPC,https://grpc.io,Development,RPC Framework,USA,active
FastHTML,https://fastht.ml,Development,Web Framework,USA,active
Robyn,https://robyn.tech,Development,Web Framework,India,active
Microdot,https://github.com/miguelgrinberg/microdot,Development,Web Framework,USA,active
APIFlask,https://apiflask.com,API,API Framework,China,active
Django Ninja,https://django-ninja.dev,API,API Framework,Russia,active
Strawberry GraphQL,https://strawberry.rocks,API,GraphQL,UK,active
Daphne,https://github.com/django/daphne,Infrastructure,Web Server,USA,active
Granian,https://github.com/emmett-framework/granian,Infrastructure,Web Server,Italy,active
Waitress,https://github.com/Pylons/waitress,Infrastructure,Web Server,USA,active
uWSGI,https://uwsgi-docs.readthedocs.io,Infrastructure,Web Server,Italy,active
aiohttp,https://docs.aiohttp.org,Development,HTTP Client,Ukraine,active
Requests,https://requests.readthedocs.io,Development,HTTP Client,USA,active
Websockets,https://websockets.readthedocs.io,Development,WebSocket,France,active
Flask-SocketIO,https://flask-socketio.readthedocs.io,Development,WebSocket,USA,active
Django Channels,https://channels.readthedocs.io,Development,WebSocket,UK,active
Peewee,https://docs.peewee-orm.com,Data,ORM,USA,active
SQLModel,https://sqlmodel.tiangolo.com,Data,ORM,Germany,active
MongoEngine,https://mongoengine.org,Data,ODM,UK,active
PynamoDB,https://pynamodb.readthedocs.io,Data,ORM,USA,active
TinyDB,https://tinydb.readthedocs.io,Data,Embedded Database,Germany,active
PickleDB,https://github.com/patx/pickledb,Data,Embedded Database,USA,active
Piccolo ORM,https://piccolo-orm.com,Data,ORM,UK,active
Pony ORM,https://ponyorm.org,Data,ORM,Russia,active
Alembic,https://alembic.sqlalchemy.org,Data,Database Migration,USA,active
orjson,https://github.com/ijl/orjson,Development,Serialization,USA,active
MessagePack,https://msgpack.org,Development,Serialization,Japan,active
Redis Queue (RQ),https://python-rq.org,Infrastructure,Task Queue,Denmark,active
ARQ,https://arq-docs.helpmanual.io,Infrastructure,Task Queue,UK,active
Taskiq,https://taskiq-python.github.io,Infrastructure,Task Queue,Russia,active
Flower,https://flower.readthedocs.io,Infrastructure,Task Monitoring,Ukraine,active
isort,https://pycqa.github.io/isort,Development,Code Formatter,UK,active
autopep8,https://github.com/hhatto/autopep8,Development,Code Formatter,Japan,active
YAPF,https://github.com/google/yapf,Development,Code Formatter,USA,active
Pylama,https://github.com/klen/pylama,Development,Code Linter,Russia,active
coala,https://coala.io,Development,Code Linter,Germany,active
wemake-python-styleguide,https://wemake-python-styleguide.rtfd.io,Development,Code Linter,Russia,active
Pyflakes,https://github.com/PyCQA/pyflakes,Development,Code Linter,USA,active
pycodestyle,https://pycodestyle.pycqa.org,Development,Code Linter,USA,active
Darglint,https://github.com/terrencepreilly/darglint,Development,Code Linter,USA,active
Fixit,https://github.com/Instagram/Fixit,Development,Code Linter,USA,active
Beartype,https://github.com/beartype/beartype,Development,Type Checker,USA,active
Pyright,https://github.com/microsoft/pyright,Development,Type Checker,USA,active
Pytype,https://google.github.io/pytype,Development,Type Checker,USA,active
Pyre,https://pyre-check.org,Development,Type Checker,USA,active
Pyrefly,https://pyrefly.org,Development,Type Checker,USA,active
Tox,https://tox.wiki,Testing,Test Automation,Germany,active
Behave,https://behave.readthedocs.io,Testing,BDD Framework,USA,active
Coverage.py,https://coverage.readthedocs.io,Testing,Code Coverage,USA,active
pytest-cov,https://pytest-cov.readthedocs.io,Testing,Code Coverage,USA,active
FreezeGun,https://github.com/spulec/freezegun,Testing,Test Utility,USA,active
Faker,https://faker.readthedocs.io,Testing,Test Data,Canada,active
Factory Boy,https://factoryboy.readthedocs.io,Testing,Test Data,France,active
Scalene,https://github.com/plasma-umass/scalene,Development,Profiler,USA,active
py-spy,https://github.com/benfred/py-spy,Development,Profiler,Canada,active
Memray,https://bloomberg.github.io/memray,Development,Memory Profiler,USA,active
Pyinstrument,https://pyinstrument.readthedocs.io,Development,Profiler,UK,active
Loguru,https://loguru.readthedocs.io,Development,Logging,Belgium,active
structlog,https://www.structlog.org,Development,Logging,Germany,active
Python JSON Logger,https://github.com/madzak/python-json-logger,Development,Logging,USA,active
Eliot,https://eliot.readthedocs.io,Development,Logging,USA,active
mkdocstrings,https://mkdocstrings.github.io,Development,Documentation,France,active
Griffe,https://mkdocstrings.github.io/griffe,Development,Documentation,France,active
tqdm,https://tqdm.github.io,Development,CLI Tool,UK,active
rich-click,https://github.com/ewels/rich-click,Development,CLI Tool,Sweden,active
Hatch,https://hatch.pypa.io,Development,Package Manager,USA,active
PDM,https://pdm-project.org,Development,Package Manager,China,active
Dynaconf,https://www.dynaconf.com,Development,Configuration Management,Brazil,active
Python Decouple,https://github.com/HBNetwork/python-decouple,Development,Configuration Management,Brazil,active
python-dotenv,https://saurabh-kumar.com/python-dotenv,Development,Configuration Management,France,active
Hydra,https://hydra.cc,Development,Configuration Management,USA,active
Pydantic Settings,https://docs.pydantic.dev/latest/concepts/pydantic_settings,Development,Configuration Management,UK,active
Authlib,https://authlib.org,Security,Authentication,Singapore,active
OAuthlib,https://oauthlib.readthedocs.io,Security,Authentication,UK,active
PyJWT,https://pyjwt.readthedocs.io,Security,Authentication,USA,active
Passlib,https://passlib.readthedocs.io,Security,Password Hashing,USA,active
bcrypt,https://github.com/pyca/bcrypt,Security,Cryptography,USA,active
cryptography,https://cryptography.io,Security,Cryptography,USA,active
Cerberus,https://docs.python-cerberus.org,Data,Data Validation,Italy,active
Voluptuous,https://github.com/alecthomas/voluptuous,Data,Data Validation,Australia,active
attrs,https://www.attrs.org,Development,Data Classes,Austria,active
Dependency Injector,https://python-dependency-injector.ets-labs.org,Development,Dependency Injection,Ukraine,active
Injector,https://github.com/python-injector/injector,Development,Dependency Injection,Poland,active
Dishka,https://github.com/reagento/dishka,Development,Dependency Injection,Russia,active
Lagom,https://lagom-di.readthedocs.io,Development,Dependency Injection,UK,active
Seaborn,https://seaborn.pydata.org,Analytics,Data Visualization,USA,active
Panel,https://panel.holoviz.org,Analytics,Dashboard,USA,active
Solara,https://solara.dev,Analytics,Dashboard,Netherlands,active
NiceGUI,https://nicegui.io,Development,GUI Framework,Germany,active
